KARGO_ID,TRAVEL,PERSONAL_FINANCE,FAMILY_PARENTING,LAW_GVT_POLITICS,AUTOMOTIVE,ARTS_ENTERTAINMENT,FOOD_DRINK,HOBBIES_INTERESTS,SPORTS,HOME_GARDEN,NEWS,BUSINESS,HEALTH_FITNESS,TECHNOLOGY_COMPUTING
bd0dd9fa-6cec-4602-9e37-aa87fc09c604,0.0,0.0,0.0,0.0,0.0,0.00010863272577847916,0.9999999993228923,0.0,0.0,0.0,6.49600050261786e-06,0.0,0.0,0.0
47403a8f-d2d8-4785-99e3-24ccdc6c987f,0.0,4.007522869270922e-07,0.0,0.0,0.0,7.094613044252982e-05,1.5190365719649035e-11,0.0,4.3538639684739147e-10,2.0499991962585235e-10,1.3986761066931645e-05,0.0,1.000000001741293,4.0752021110329997e-10
da609004-b751-4ed7-bfaa-bbb424c782c3,0.0,4.007522869270922e-07,0.0,0.0,0.0,7.094613044252982e-05,1.5190365719649035e-11,0.0,4.3538639684739147e-10,2.0499991962585235e-10,1.3986761066931645e-05,0.0,1.000000001741293,4.0752021110329997e-10
912e9b53-a5c1-4306-b9c6-28512dec7a53,0.0,1.237872271309455e-25,5.007530512735802e-15,0.0,8.370562892563599e-12,0.9999989452465343,4.593782908505985e-12,0.0,1.3448525823653514e-28,6.332183855302019e-29,7.399475735575815e-24,1.2534328932429387e-10,3.0888713897474434e-19,1.258777518628921e-28
dce42676-0982-4ddf-a84a-168b94fc5fff,0.0,5.268798529984533e-22,4.941198090256754e-15,0.0,8.244016244027071e-12,1.0000003849113588,4.522893446097284e-12,0.0,5.724142525235628e-25,2.6951892987403923e-25,3.146775464688821e-20,5.291173485322098e-07,1.3147270049434786e-15,5.357778256648294e-25
0974a3d6-8798-4ee7-b510-74ccf67504ac,0.0,4.007522869270921e-06,0.0,0.0,0.0,0.0007094613044252981,1.5190365719649034e-10,0.0,4.3538639684739144e-09,2.049999196258523e-09,0.00013986761066931642,0.0,10.00000001741293,4.0752021110329995e-09
4f63e226-fe05-4582-980b-bc4ffb53db7b,0.0,2.145846675504237e-20,1.3076239739826707e-06,0.0,0.002181814844878586,5.000039622929567,1.8705612676247193e-10,0.0,2.3312966206596173e-23,1.0976815612977416e-23,1.2816026814055604e-18,2.15496406140348e-05,5.3545463101279156e-14,2.1820858388660728e-23
7813d41b-638d-4bc4-8325-919a178d23ae,0.0,1.5181805055589252e-21,4.793891112787118e-15,0.0,8.005872114368239e-12,1.000003094223409,4.38948622321592e-12,0.0,1.649385821719602e-24,7.76606626511245e-25,9.067295226011842e-20,1.5246299081055145e-06,3.788326499253942e-15,1.5438196120159495e-24
20c346a7-5d62-4ce3-affd-baa831a4a0ac,0.0,0.0,0.0,0.0,0.002942851636907108,0.0,0.0,0.0,0.0,0.0,0.0010732104333023,0.0,0.0,4.999998140575686
4e03807f-bb14-43c2-8ce9-31ab708dce21,0.0,9.241779578972558e-26,5.010392954181495e-15,0.0,8.370570254569474e-12,0.9999989451479097,4.593787760022888e-12,0.0,1.0040479474740199e-28,4.727519050275291e-29,5.377797614813582e-24,8.910455446211211e-11,2.306107761961827e-19,9.397855203452004e-29
a9ae5cd2-970f-4d99-84f6-57d979d27348,0.0,9.176695967932672e-26,5.014959136087508e-15,0.0,8.370570872191701e-12,0.9999989451477497,4.593787777037193e-12,0.0,9.969771159831374e-29,4.6942263268963625e-29,5.412991518693466e-24,8.904578158675063e-11,2.289867402698436e-19,9.331672457213141e-29
2ffcf885-c178-4c4a-87cf-cea5297824fb,0.0,2.4800947209703674e-20,1.8441156473711518e-06,0.0,0.0030769693542908013,7.000041006882122,2.6430035416878904e-10,0.0,2.694431297406346e-23,1.2686620514680216e-23,1.481230605785303e-18,2.4906315691579034e-05,6.188597810148334e-14,2.5219786816335647e-23
0df988ec-3c7e-4ad4-99f8-15bbc72a9e41,0.0,1.9328820825809674e-21,4.731645094817866e-15,0.0,7.90624777786646e-12,1.000004227639393,4.333676534994688e-12,0.0,2.0999270445059513e-24,9.887421344832786e-25,1.1544094949369753e-19,1.941093507176442e-06,4.823134262733043e-15,1.9655246895059744e-24
24e52bbd-dd78-408e-bf58-e2f724438a0d,0.0,4.007522869270922e-07,0.0,0.0,0.0,7.094613044252982e-05,1.5190365719649035e-11,0.0,4.3538639684739147e-10,2.0499991962585235e-10,1.3986761066931645e-05,0.0,1.000000001741293,4.0752021110329997e-10
6e1bc1b8-aeb3-458b-829a-9f89ebde4851,0.0,0.0,0.0,0.0,0.0,0.0009776945320063124,8.99999999390603,0.0,0.0,0.0,5.846400452356074e-05,0.0,0.0,0.0
11088b61-2b49-4170-b989-0fef9f92bfb5,0.0,5.295969443973568e-21,9.266486265648895e-15,0.0,1.5468910803712584e-11,2.0000123641536325,8.474879079774151e-12,0.0,5.753661624007206e-24,2.7090882467080345e-24,3.1630063975398755e-19,5.3184682292708894e-06,1.3215069822318657e-14,5.385408034358573e-24
875beeba-ea24-4f61-9fa5-fb780d5c4d25,1.463696764102504e-16,1.2870250249826082e-15,2.1129791206237326e-15,0.0,3.66715332221196e-05,2.68336611536812e-18,1.0342305516319506e-14,0.0,9.572599566529439e-24,4.507219692573087e-24,1.000092490630364,1.1437976363509622e-09,2.198644618425583e-14,8.95992117440177e-24
f67bf59f-9864-427d-b7b1-c790be3eb699,2.560504957465108e-07,2.25143040569948e-06,5.714670642461034e-10,0.0,9.327271052962968e-05,7.256672901399414e-13,2.7971345494074476e-09,0.0,2.58856970023352e-18,1.2188175476685603e-18,3.998766493415643,2.0008922544891354,5.9454537936985906e-09,3.612447586763241e-08
e2f6b4d4-3a1b-4d42-a4c1-7d1bc8ff4590,0.0,0.0,0.0,0.0,0.0017657109821442646,0.0,0.0,0.0,0.0,0.0,0.0006439262599813799,0.0,0.0,2.999998884345411
