KARGO_ID,TRAVEL,PERSONAL_FINANCE,FAMILY_PARENTING,LAW_GVT_POLITICS,AUTOMOTIVE,ARTS_ENTERTAINMENT,FOOD_DRINK,HOBBIES_INTERESTS,SPORTS,HOME_GARDEN,NEWS,BUSINESS,HEALTH_FITNESS,TECHNOLOGY_COMPUTING
223c26c3-83b4-45c8-825c-49ef8034a4ba,0,0,0,0,0,3,0,0,0,0,0,0,0,0
3a6dad96-0fac-478d-86ba-8273a520b80b,0,0,0,0,0,0,0,0,0,0,0,0,7,0
ee0f400a-253b-4f3f-b717-7c95749467a3,0,0,4,0,0,0,0,0,0,0,0,0,0,0
52964da7-ec6f-4b45-aaef-5ac068ee2d84,0,0,0,0,0,2,0,0,0,0,0,0,0,0
33588ba3-2f11-4d1c-8bab-351237ec12ef,0,0,0,0,0,1,0,0,0,0,0,0,0,0
fa990ece-fdbd-43b4-941b-b1e1fc4f2f93,0,0,0,0,0,2,0,0,0,0,0,0,0,0
9fa3cdc0-5a71-47e1-b169-8604c5f0f31e,0,0,0,0,0,1,0,0,0,0,0,0,0,0
e57b155d-c90d-4679-b3fb-3096dc9b6fe9,0,0,0,0,0,2,0,0,0,0,0,0,0,0
e67b5ed5-4e75-40a7-aab7-8390a975309d,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ab8fbf20-0e9c-4804-bf0e-9b0833d73243,0,0,0,0,0,0,0,0,0,0,0,0,0,1
f60b85f1-96ed-43a4-8d93-e59a1791b7bc,0,0,1,0,0,0,0,0,0,0,0,0,0,0
e3c06f30-0225-4afa-a6bd-be506f3c9b2f,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3df6aa89-8ec0-4d05-861d-7af8cb34e370,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0030c871-3e40-4214-8ea6-c133c7c27c7c,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cf558573-6ba9-43c1-978b-3b9737a17b9b,0,0,0,0,0,1,0,0,0,0,0,0,0,0
bbe78266-214f-425d-8898-7ec9b36bf6be,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9e1b2f2e-5ff8-486b-a034-a58c199d101e,5,0,0,0,0,0,0,0,0,0,0,0,0,0
cf64985f-e513-4fc6-ba5e-9545d4178511,0,0,0,0,0,7,0,0,0,0,0,0,0,0
959e8d85-0763-4026-9426-4c9abcd2eb3b,0,0,0,0,0,0,0,0,0,0,0,0,0,1
c0718ad5-7f9d-4ba4-9545-80b1c5282559,0,0,0,0,0,1,0,0,0,0,0,0,0,0
54df1f8b-2730-46fd-af16-76cd31c57ed3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0e1bc127-a189-4595-b5ea-33057899aa69,0,0,0,0,0,1,0,0,0,0,0,0,0,0
a3aa8c1b-d3b8-4c94-9e16-e97ea0b53119,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73ed063d-143e-4f0d-87ea-3c095c1a38aa,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ec6ecb32-0301-46e0-aaec-15529dd0bc44,0,0,0,0,0,0,1,0,0,0,0,0,0,0
97099c11-5047-4e1a-8359-177553f3a2fc,0,0,0,0,0,2,0,0,0,0,0,0,0,0
6a1afb9b-f584-408f-995c-2cec4ed585ed,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8acb5a81-cb1e-4868-b022-e75543f73911,0,0,0,0,0,0,1,0,0,0,0,0,0,0
920d2d45-275e-4a20-9a59-cd86bd6199ad,0,0,0,0,0,0,0,0,0,1,0,0,0,0
e998af05-299d-46d6-b765-c880615df6ff,0,0,0,0,0,1,0,0,0,0,0,0,0,0
79a05b3f-a82a-4f8e-b29c-a1f7d9fdfc52,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cf1af638-9031-4449-8cfb-38a956419f4b,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cce3074a-8e0e-4ed1-8397-46cea91e63d4,0,0,0,0,0,2,0,0,0,0,0,0,0,0
f126f406-18b4-4664-a497-a7fff565ca2b,0,0,0,0,0,23,0,0,0,0,0,0,0,0
d8d1e393-6846-48ca-9f54-cc68f35d6a0b,0,0,0,0,0,13,0,0,0,0,0,0,0,0
6d7190b3-478f-4617-9b6b-ab42a9bcb0cc,0,0,0,0,0,0,0,0,0,0,2,0,0,0
f504f475-0400-4082-8b93-3e5654d89276,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7d940dee-ed73-4d0d-908d-5a20da9faac4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
54d7f393-9142-4a17-888a-36e0b178530b,0,0,0,0,0,0,2,0,0,0,0,0,0,0
